,series_title,primary_work_count,series_work_count,series_description,link
842,Tom Clancy's Net Force,11,13,"In the year 2010, computers are the new superpowers. Those who control them, control the world. To enforce the Net Laws, Congress creates the ultimate computer security agency within the FBI: the Net Force. Tom Clancy's Net Force is a novel series created by authors Tom Clancy and Steve Pieczenik. Each entry in the series is written by Steve Perry (with later volumes co-authored by Larry Segriff).",https://www.goodreads.com/series/40524-tom-clancy-s-net-force
843,Jimm Juree,5,6,"Jimm Juree, a former crime reporter for the Chiang Mai Daily Mail, now living with her family in rural southern Thailand:",https://www.goodreads.com/series/66016-jimm-juree
844,Sutton Massachusetts Mystery,4,4,"A series of mystery novels set in Sutton, Massachusetts. All novels in the Sutton Massachusetts Mystery series are written in a boots-on-the-ground, chapter-a-day format. Author Lisa Shea goes to the locations, experiences the atmosphere, and then infuses those colors, birdsongs, and fragrances into her story in a manner reminiscent of Annie Dillard's Pilgrim at Tinker Creek.",https://www.goodreads.com/series/125228-sutton-massachusetts-mystery
845,Burren Mysteries,14,14,"Mara, a female judge and lawgiver appointed by King Turlough Donn O'Brien in the early 16th century, on the west coast of Ireland, in the Burren mysteries:",https://www.goodreads.com/series/44521-burren-mysteries
846,Maggy Thorsen Mystery,9,11,"Maggy Thorsen, a 40-something divorcee running a coffee shop, Uncommon Grounds, with two women friends in the small fictional town of Brookhills, Wisconsin:",https://www.goodreads.com/series/59419-maggy-thorsen-mystery
847,Jake Hines,10,11,"Featured characters are a hard-working police detective named Jake Hines and his girlfriend, Trudy Hanson, a forensic scientist at the Bureau of Criminal Apprehension in St. Paul.",https://www.goodreads.com/series/52085-jake-hines
848,Oz Blackstone,9,9,"Oz Blackstone, private investigator in London, England:",https://www.goodreads.com/series/65675-oz-blackstone
849,Simeon Grist Mystery,7,9,"Simeon Grist, a four-degreed private investigator, in Los Angeles, California:",https://www.goodreads.com/series/50990-simeon-grist-mystery
850,Inspector Green Mystery,12,12,"The Inspector Green series is set in Canada's Capital, a city of rich cultural and geographical diversity, and features the impetuous, exasperating Ottawa Police Inspector Michael Green, whose passion for justice and love of the hunt often conflicts with family, friends and police protocol.",https://www.goodreads.com/series/50568-inspector-green-mystery
851,Victorian Bookshop Mystery,5,5,"Georgia Fenchurch, antiquarian bookseller, Victorian London",https://www.goodreads.com/series/105556-victorian-bookshop-mystery
852,Harley Hill Mysteries,6,8,"The Harley Hill mysteries are set in Notting Hill, London, featuring young rogue-gone-straight, Harley Hill. They can be read in any order, but readers will get more of a story arc of Harley's background if read in order:",https://www.goodreads.com/series/141434-harley-hill-mysteries
853,Love Mercy Johnson,1,1,"From the author's website: ""[Love Mercy] is, I hope, the first of a trilogy about these characters.""",https://www.goodreads.com/series/184671-love-mercy-johnson
854,Stevie Hooper,3,3,"Stevie Hooper, a mother and a detective sergeant in the Sex Crimes unit, in Perth, Western Australia:",https://www.goodreads.com/series/85190-stevie-hooper
855,The Fly Papers,2,2,"a fast-paced mystery-adventures series for children, set in the movie industry town of Filmington.",https://www.goodreads.com/series/189492-the-fly-papers
856,Brad Chen,3,3,"Bradman (Brad) Chen, a 5th-generation Chinese-Australian ex-rugby star and inspector with the Australian Federal Police, in Canberra, Australia:",https://www.goodreads.com/series/95959-brad-chen
857,Magic Potion Mystery,3,3,"Magic Potion mystery series, featuring healing witch Carly Hartwell",https://www.goodreads.com/series/97307-magic-potion-mystery
858,Amish-Country Mysteries,9,10,"These book feature a number of recurring characters, principally Professor Michael Branden. The first six books were originally published under the series name ""Ohio Amish Mysteries"", but the author has revised and updated them, re-releasing all of the books in the series under the new series title. Amish-Country Mysteries",https://www.goodreads.com/series/51783-amish-country-mysteries
859,Kevin Kerney,12,12,"Kevin Kerney, ex-chief of detectives in Santa Fe, New Mexico. The is a prequel to the Kevin Kerney crime series.",https://www.goodreads.com/series/59213-kevin-kerney
860,Carrigan and Miller,3,3,"Jack Carrigan, a detective inspector, and Geneva Miller, a detective sergeant, in London, England:",https://www.goodreads.com/series/87696-carrigan-and-miller
861,Spirit Road Mystery,3,3,"Also known as: Manny Tanno Manny Tanno, a former Oglala Lakota tribal cop, now an FBI Special Agent returning to the Pine Ridge Reservation, in South Dakota:",https://www.goodreads.com/series/66573-spirit-road-mystery
862,Barbara Holloway,14,14,"Barbara Holloway, a defense attorney in Oregon:",https://www.goodreads.com/series/58693-barbara-holloway
863,Faye Longchamp,10,10,Faye Longchamp is an archaeologist who has a home on the coast in the Florida panhandle.,https://www.goodreads.com/series/40539-faye-longchamp
864,Crowther and Westerman,5,5,"Harriet Westerman, mistress of Caveley Park manor, and anatomist Gabriel Crowther, in the 1780s, in West Sussex, England:",https://www.goodreads.com/series/46596-crowther-and-westerman
865,Mulcahy,2,2,"Mike Mulcahy, a detective inspector, and Siobhan Fallon, chief reporter for the Sunday Herald, in Dublin, Ireland:",https://www.goodreads.com/series/72922-mulcahy
866,Fortune Teller Mystery,4,5,"Sunny Meadows, a fortune teller leaving New York City for rural Divinity, in upstate New York, in the Fortune Teller mysteries:",https://www.goodreads.com/series/54080-sunny-meadows-mystery
867,Alan Bernhardt,5,5,"Alan Bernhardt, an actor/director/private investigator in San Francisco, California:",https://www.goodreads.com/series/84445-alan-bernhardt
868,Lt. Hastings,20,20,"Frank Hastings, Sergeant (later, Lieutenant) co-commander of SFPD homicide in San Francisco, California:",https://www.goodreads.com/series/84446-lt-hastings
869,William Scott,8,8,"William ""Spider"" Scott, a semi-reformed cat burglar with an extra Y chromosome",https://www.goodreads.com/series/132383-william-scott
870,Stanley Hastings,20,22,"Stanley Hastings, actor and private investigator in New York City:",https://www.goodreads.com/series/54377-stanley-hastings
871,Carrie Carlin,5,5,"Carrie Carlin, a biofeedback specialist, and Ted Brodsky, a homicide cop, in New Jersey:",https://www.goodreads.com/series/40989-carrie-carlin
872,Dido Hoare,8,8,"Dido Hoare, London antiques bookstore owner and amateur investigator",https://www.goodreads.com/series/59505-dido-hoare
873,Detective Emmanuel Cooper,4,4,Emmanuel Cooper is a detective sergeant in 1952 South Africa.,https://www.goodreads.com/series/53016-detective-emmanuel-cooper
874,Amory Ames,5,6,A mystery series featuring amateur detective Amory Ames ... with occasional help from her husband Milo.,https://www.goodreads.com/series/142911-amory-ames
875,Dulcie Schwartz,10,10,"Series about characters Dulcie Schwartz, a Harvard doctoral candidate living in Cambridge, Massachusetts, and the helpful ghost of her cat Mr. Grey.",https://www.goodreads.com/series/59707-dulcie-schwartz
876,Nick Hoffman,8,8,"Who says academia isn't the real world? It's got the vanity of professional sports; the hypocrisy of politics; the cruelty of big business; and the inhumanity of organized crime. A perfect setting for murder and satire! That's why I started the Nick Hoffman series, set at the fictional State University of Michigan at Michiganapolis. Nick is a composition teacher there, which makes him low man on the totem pole in his Department of English, American Studies, and Rhetoric (EAR). And being involved in murder doesn't help his chances for getting tenure--or does it?",https://www.goodreads.com/series/69208-nick-hoffman
877,John Blake,2,2,"John Blake, a NYU dropout and sometimes private investigator in New York City:",https://www.goodreads.com/series/208761-the-adventures-of-john-blake
878,Inspector Frost,6,8,"Jack Frost, a detective inspector in Denton, England:",https://www.goodreads.com/series/43278-inspector-frost
879,Detective Jackson Mystery,12,12,"Wade Jackson, a homicide detective in Eugene, Oregon:",https://www.goodreads.com/series/52902-detective-jackson-mystery
880,Jack Carpenter,4,4,"Jack Carpenter is an ex-cop from South Florida who was terminated because of using excessive force to a ""slime-bag"" who needed it. He turns to private eye work with a soft touch for children.",https://www.goodreads.com/series/57800-jack-carpenter
881,Kelling & Bittersohn,12,12,"Max Bittersohn, art detective, and his socially connected wife, Sarah Kelling, in Boston, Massachusetts:",https://www.goodreads.com/series/43490-kelling-bittersohn
882,DI Ted Stratton,5,5,"Ted Stratton, a detective inspector in 1940s London, England:",https://www.goodreads.com/series/46964-di-ted-stratton
883,Sir Edward Leithen,5,6,"Sir Edward Leithen is the hero of several of John Buchan's novels. Leithen is a Scottish barrister and a Tory politician (and MP) and, at one point, an Attorney General The series was published over a number of years, the first in 1916, and the last in 1941, one year after Buchan's death. Leithen's name is borrowed from the Leithen Water, a tributary of the River Tweed, one of many references to the Scottish Borders in Buchan's novels.",https://www.goodreads.com/series/65711-sir-edward-leithen
884,Carlotta Carlyle,12,12,"Carlotta Carlyle, a cab-driving ex-cop PI, in Boston, Massachusetts: http://lindabarnes.com/carlottas_boston.html",https://www.goodreads.com/series/42765-carlotta-carlyle
885,Silver Bear,4,5,"The ""Silver Bear"" is Columbus (not his real name), a professional, contract killer.",https://www.goodreads.com/series/42141-silver-bear
886,Dana Cutler,4,4,"Dana Cutler, a private detective in Washington DC, and Brad Miller, a law clerk in Oregon:",https://www.goodreads.com/series/107501-dana-cutler
887,Seven of Spades,3,3,"Las Vegas has never seen a serial killer like the Seven of Spades. The self-styled vigilante is on a mission to cut down the wicked and treacherous, and Sin City has no shortage of targets for their bloody wrath. What happens in Vegas . . . ends with the Seven of Spades's calling card on a grisly corpse. Standing against the killer are Levi Abrams, a dedicated homicide detective locked in a constant struggle to restrain his own dark side, and bounty hunter Dominic Russo, a charming rogue with a heavy secret weighing on his shoulders. The hunt for the Seven of Spades sends Levi and Dominic on a collision course, igniting a passionate relationship forged in conflict and sealed with blood. Together they're stronger than the sum of their parts, but a wily, elusive serial killer isn't the only threat that will strain their bond to the breaking point. Ante up, because the Seven of Spades is all in. Are you?",https://www.goodreads.com/series/206410-seven-of-spades
888,Dennis Milne,3,3,"Dennis Milne, a cynical detective sergeant in London, England, later on the run under an assumed name:",https://www.goodreads.com/series/63214-dennis-milne
889,Garner Quinn,3,3,"Garner Quinn, a best-selling true crime writer, in Spring Lake, New Jersey:",https://www.goodreads.com/series/83683-garner-quinn
890,Orphan X,3,4,"http://gregghurwitz.net/orphan-x-thrillers/ The Nowhere Man is a legendary figure spoken about only in whispers. It's said that when he's reached by the truly desperate and deserving, the Nowhere Man can and will do anything to protect and save them. But he's not merely a legend. Evan Smoak is a man with skills, resources, and a personal mission to help those with nowhere else to turn. He's also a man with a dangerous past. Taken from a group home at twelve, Evan was raised and trained as part of the Orphan Program, an off-the-books operation designed to create deniable intelligence assets--i.e. assassins. Evan was Orphan X. He broke with the program, using everything he learned to disappear and reinvent himself as the Nowhere Man.",https://www.goodreads.com/series/170378-orphan-x
891,Puzzle Lady,19,20,"Cora Felton, a crossword creator with a nationally-syndicated column in Bakerhaven, Connecticut, in the Puzzle Lady mysteries:",https://www.goodreads.com/series/41470-puzzle-lady
892,Mercy Street,4,5,"The Mercy Street Foundation is a non-profit organization founded by reclusive billionaire Robert Magellan, a man whose wife and infant son disappeared without a trace. The Foundation takes on missing person's cases that have never been solved. Helping Magellan in his quest is former police detective Mallory Russo and other Mercy Street Foundation operatives. (Mystery/Suspense)",https://www.goodreads.com/series/51709-mercy-street
893,Luther,2,2,"The series of novels featuring DCI John Luther, tortured detective from the BBC TV series Luther.",https://www.goodreads.com/series/90113-luther
894,Sir John Appleby,36,37,"John Appleby was born in 1907 or 1908 (in Silence Observedhe states that his age is fifty-three). He first appeared as a youthful Detective Inspector in Death at the President's Lodgingin 1936 and retired from Scotland Yard just after World War II. He then reappeared as Commissioner of the Metropolitan Police, now with a knighthood; and, despite a second retirement, continued to solve crimes well into the 1980s, 50 years after his fictional debut.",https://www.goodreads.com/series/103758-sir-john-appleby
895,Nina Wilde & Eddie Chase,13,15,"The adventures of archaeologist Nina Wilde and her husband, ex-SAS soldier Eddie Chase.",https://www.goodreads.com/series/45224-nina-wilde-eddie-chase
896,Ivor Maddox,13,14,"Ivor Maddox, a sergeant at the Wilcox Avenue Station in Hollywood, California1: Note: Some editions published in UK under Anne Blaisdell",https://www.goodreads.com/series/88492-ivor-maddox
897,A Tea Shop Mystery,19,20,"Theodosia Browning, owner of the Indigo Teahouse in Charleston, South Carolina, in the Tea Shop Mysteries:",https://www.goodreads.com/series/41611-a-tea-shop-mystery
898,Autumn Rain,5,5,"Note: Eyes of a Stranger is a prequel novel that looks into how Autumn and Tawnia meet, it is written in the third-person unlike the rest of the Autumn Rain Series.",https://www.goodreads.com/series/71986-autumn-rain
899,Southern Sisters,8,8,The Southern Sisters mysteries feature Mary Alice and Patricia Anne who live in Birmingham (Alabama).,https://www.goodreads.com/series/41010-southern-sisters
900,Mike Ford,2,2,"Mike grew up in a world of small-stakes con men, learning lessons at his father's knee. His hard-won success in college and law school was his ticket out.",https://www.goodreads.com/series/121887-mike-ford
901,David Cavanaugh,6,6,"David Cavanaugh, a criminal defense attorney in Boston, Massachusetts:",https://www.goodreads.com/series/60237-david-cavanaugh
902,A Maggie MacGowen Mystery,8,8,"Maggie MacGowen, a documentary filmmaker in Los Angeles, California:",https://www.goodreads.com/series/53586-a-maggie-macgowen-mystery
903,The Locator,2,2,Reclusive Vietnam vet Walter Sherman 50s finds things from Caribbean island base.,https://www.goodreads.com/series/59868-the-locator
904,Robert Amiss,12,12,"Robert Amiss is a retired civil servant. Later books in the series also feature Baroness ""Jack"" Troutbeck, a member of the House of Lords.",https://www.goodreads.com/series/51395-robert-amiss
905,Caroline Mabry,2,2,"Caroline Mabry, a police detective in Spokane, Washington:",https://www.goodreads.com/series/83490-caroline-mabry
906,Inspector Shan,9,9,"Shan Tao Yun, a Chinese bureaucrat imprisoned in a Himalayan labor camp:",https://www.goodreads.com/series/42447-inspector-shan
907,Nick Reid,3,3,"Set in the Mississippi Delta, featuring repo man Nick Reid, the series is a collection of colorful characters, crazy mishaps, and pistol-whipping dialogue. Hilarity ensues.",https://www.goodreads.com/series/123562-nick-reid
908,Cleo Tidwell Paranormal Mystery,2,2,"""The funniest novel I've read since Hitchhiker's Guide to the Galaxy."" -- NewMyths.com ""The Burg gave us Stephanie Plum, Las Vegas gave us Lucky O'Toole, and now, Allister, AL, presents us with Cleo Tidwell."" -- Lane Robins, critically acclaimed author of Maledicte, and the Shadows Inquiries series (as Lyn Benedict)",https://www.goodreads.com/series/87978-cleo-tidwell-paranormal-mystery
909,Dan Shepherd,15,35,Dan 'Spider' Shepherd is a former SAS trooper turned detective in an elite undercover squad.,https://www.goodreads.com/series/59359-dan-shepherd
910,Confessions of a Slightly Neurotic Hitwoman,17,17,"Note: there is no book listed as Book 3, this is not an error on the part of Goodreads. The lists follows what the author has listed on her website, where ""The Hitwoman Gets Lucky"" is 2.5, not 3. There is no 3 listed.",https://www.goodreads.com/series/110702-confessions-of-a-slightly-neurotic-hitwoman
911,Presidential Agent,8,8,"Charley Castillo, a Delta Force Major working with the Department of Homeland Security, in the Presidential Agent series:",https://www.goodreads.com/series/54891-presidential-agent
912,Fethering Mystery,21,21,"Carole Seddon, a retiree in Fethering, England, in the Fethering Mysteries:",https://www.goodreads.com/series/41365-fethering-mystery
913,Ray Sharp,4,4,"Ray Sharp, an American expatriate journalist and detective, in east Asia:",https://www.goodreads.com/series/90526-ray-sharp
914,A Scumble River Mystery,19,23,"Skye Denison, a school psychologist in Scumble River, Illinois",https://www.goodreads.com/series/41603-a-scumble-river-mystery
915,Ava Lee,10,13,"Methodical. Resourceful. Courageous. Determined. Strong. Confident. Ava Lee is a young Chinese-Canadian forensic accountant who specializes in recovering massive debts that aren't likely to be recovered through traditional methods. In the first book of the Ava Lee series, The Water Rate of Wanchai, her character takes shape through learning about her traditional Chinese upbringing, her family dynamic and the people that are most important to Ava. Partnering with ""Uncle"", who lives in Hong Kong , they have a diverse client base that is mainly Asian. They approach their business with the understanding that ""organized corruption is always superior to corruption with no rules."" Since dealing with corruption is the heart of their business, they prefer to conduct their work in countries with organized corruption. Independent, intelligent, and creative in her methods, Ava does whatever needs doing to get the job done. Ava's motto is: ""people always do the right thing for the wrong reason."" Her challenge is to always find that wrong reason. Even though she's petite, it's a serious mistake to underestimate her physical abilities. She is well trained in martial arts and uses her abilities to get her out of dangerous circumstances. She is also accustomed to working alone, to the point of obsession, which becomes interesting when she is forced to negotiate with powerful and unfamiliar alliances to get the job done.",https://www.goodreads.com/series/75298-ava-lee
916,Harry Bosch Universe,30,35,Universe of the books connected to the Harry Bosch character. Source for the order is the author's website of the reading order.,https://www.goodreads.com/series/212785-harry-bosch-universe
917,Lambert and Hook,29,29,"Superintendent John Lambert and Detective Sergeant Bert Hook, policemen and golf enthusiasts in Gloucestershire, England:",https://www.goodreads.com/series/65832-lambert-and-hook
918,A Mind for Murder,3,3,"Liz Cooper, a clinical psychologist who is skeptical about the paranormal, in Los Angeles, California, in the Mind for Murder mysteries:",https://www.goodreads.com/series/68952-a-mind-for-murder
919,Thomas Black,12,12,Thomas Black is a private investigator in Seattle.,https://www.goodreads.com/series/51415-thomas-black
920,Kerry Kilcannon,3,3,"Kerry Kilcannon, a senator then President of the USA, in Washington, DC:",https://www.goodreads.com/series/80835-kerry-kilcannon
921,Amsterdam Cops Mysteries,17,17,"Janwillem van de Wetering's Amsterdam cops, Henk Grijpstra and Rinus de Gier, investigate the city's most unusual murder cases while pondering Zen philosophy.",https://www.goodreads.com/series/61059-amsterdam-cops-mysteries
922,The Unknown Assassin,3,5,Series name: Boy Nobody (UK) The Unknown Assassin (US) Cible (French) Books have multiple names depending on country: Book 1: I Am the Weapon | Boy Nobody | The Hit Book 2: I Am the Mission | The Lost Mission | The Mission | Fearless Book 3: I Am the Traitor | The Traitor,https://www.goodreads.com/series/90665-the-unknown-assassin
923,Storage Ghost Mystery Set #1,5,6,This is the first set of the Storage Ghost books. Grace Abrahams is the main character in these books. She started seeing ghosts following a car accident. They can be bought separately or in a box set (which works out cheaper),https://www.goodreads.com/series/154180-storage-ghost-mystery
924,Inspector Ikmen,19,19,"Inspector Cetin Ikmen, a policeman in Istanbul, Turkey:",https://www.goodreads.com/series/53653-inspector-ikmen
925,Susan Lombardi Mystery,4,4,"Susan Lombardi, a professor at a university in Connecticut:",https://www.goodreads.com/series/88842-susan-lombardi-mystery
926,Benny Cooperman,13,13,"Benny Cooperman, private investigator in Grantham, Ontario, Canada:",https://www.goodreads.com/series/50438-benny-cooperman
927,Home Repair is Homicide,16,16,"The Home Repair is Homicide mysteries feature Jacobia ""Jake"" Tiptree, a home repair expert in Eastport, Maine.",https://www.goodreads.com/series/40788-home-repair-is-homicide
928,Nathan McBride,6,6,"Nathan McBride, a Marine Corps scout sniper and CIA operations officer:",https://www.goodreads.com/series/93884-nathan-mcbride
929,Diane Fallon,9,9,Diane Fallon: -Forensic Anthropologist -Former Human Rights Investigator -Museum Director -Expert Caver -Reluctant Detective,https://www.goodreads.com/series/49254-diane-fallon
930,Lord Edward Corinth & Verity Browne,10,10,"Lord Edward Corinth, a jaded English aristocrat, and Verity Browne, a leftist journalist, between the wars in 1930s London, England:",https://www.goodreads.com/series/41187-lord-edward-corinth-verity-browne
931,Aloha Lagoon Mysteries,9,10,"A Multi-author series. http://www.gemmahalliday.com/Aloha_Lagoon http://www.gemmahalliday.com/Aloha_Lagoon/books.html There's trouble in paradise... Welcome to Aloha Lagoon, one of Hawaii's hidden treasures. A little bit of tropical paradise nestled along the coast of Kauai, this resort town boasts luxurious accommodation, friendly island atmosphere...and only a slightly higher than normal murder rate. While mysterious circumstances may be the norm on our corner of the island, we're certain that our staff and Lagoon natives will make your stay in Aloha Lagoon one you will never forget! visit us at alohalagoonmysteries dot com",https://www.goodreads.com/series/178626-aloha-lagoon-mysteries
932,Nicholas Bracewell,16,16,"Also known as ""An Elizabethan Mystery"" The protagonist of this Elizabethan theater series is Nicholas Bracewell, the bookholder of a leading theater company (in an alternate non-Shakespearean universe).",https://www.goodreads.com/series/41640-nicholas-bracewell
933,Booker,6,8,Suspense thriller / police procedurals about Dallas beat cop Booker T. Adams.,https://www.goodreads.com/series/158450-booker
934,Vengeance of Memory,3,3,"The Vengeance of Memory trilogy, following three time-lines: Ana Maria Galindez, a Guardia Civil forensic investigator in contemporary Madrid, Spain; Comandante Leo Guzman, in the 1950s under Franco; and the Spanish Civil War in the late 1930s:",https://www.goodreads.com/series/110044-vengeance-of-memory
935,Kidd and LuEllen,4,5,"Kidd has three main occupations: he's a pretty good painter, a serious tarot reader, and a genius with computers. He's teamed up with LuEllen, a cat burglar addicted to danger (among other things). The first two book in the series were published under the name [author:John Camp].",https://www.goodreads.com/series/42524-kidd-and-luellen
936,A Magical Cats Mystery,9,10,"Kathleen Paulson, a librarian from Boston, and two stray cats with special powers, Owen and Hercules, in fictional Mayville Heights, Minnesota, in the Magical Cats mysteries:",https://www.goodreads.com/series/53508-magical-cats-mystery
937,Terrier Rand,2,2,"Terrier Rand, raised in a clan of small-time thieves and grifters, decides to go straight:",https://www.goodreads.com/series/103453-terrier-rand
938,Douglas Brodie,4,5,"Douglas Brodie, a crime reporter in Glasgow, Scotland, in the 1940s:",https://www.goodreads.com/series/80484-douglas-brodie
939,Archie Lean,2,2,"Archie Lean, newly appointed deputy marshal, and Perceval Grey, a part-Indian Pinkerton agent, in 1890s Portland, Maine:",https://www.goodreads.com/series/83052-archie-lean
940,Cat DeLuca Mysteries,5,6,"Cat DeLuca, a private investigator operating the Pants On Fire Detective Agency specializing in cheating spouses, in Chicago, Illinois:",https://www.goodreads.com/series/49921-cat-deluca-mysteries
941,Blaine McCracken,11,11,"Blaine McCracken, an exiled agent who knows 14 ways to kill a man in under two seconds:",https://www.goodreads.com/series/82546-blaine-mccracken
942,Jane Hawk,3,3,"Jane Hawk, an FBI agent on leave, attempts to bring down a conspiracy causing happy, sound-of-mind people to commit suicide.",https://www.goodreads.com/series/190418-jane-hawk
943,A Knitting Mystery,16,16,"Kelly Flynn, a corporate accountant from Washington DC, who has relocated to Ft. Connor, Colorado, and is learning to knit at the House of Lambspun:",https://www.goodreads.com/series/51179-a-knitting-mystery
944,Den of Antiquity,16,16,The Den of Antiquity mysteries feature antique store owner Abigail Timberlake.,https://www.goodreads.com/series/42169-den-of-antiquity
945,Andy Carpenter,16,17,"Attorney Andy Carpenter is an unabashed animal lover, and he has a reputation for saving both dogs and humans from Death Row. With the help of his beloved golden retriever Tara, Andy solves cases and wins courtroom battles in this acclaimed series of legal thrillers. http://us.macmillan.com/series/AnAndyCarpenterNovel",https://www.goodreads.com/series/42650-andy-carpenter
946,Ghosts of Fear Street,36,36,Other series about Fear Street include:Fear StreetNew Fear StreetFear Street Super ChillersFear Street CheerleadersThe Fear Street Saga99 Fear Street: The House of EvilFear Street: The Cataluna ChroniclesFear Street: Fear ParkFear Street SagasFear Street SeniorsFear Street Nights,https://www.goodreads.com/series/41438-ghosts-of-fear-street
947,Stewart Hoag,9,10,"Suave, debonaire, and witty, Stewart Hoag is a ghostwriter for celebrities.",https://www.goodreads.com/series/50982-stewart-hoag
948,Lincoln Perry,4,4,Lincoln Perry is a private investigator working in Cleveland.,https://www.goodreads.com/series/55496-lincoln-perry
949,Jane Candiotti,4,4,"Jane Candiotti, a homicide inspector in San Francisco, California:",https://www.goodreads.com/series/102868-jane-candiotti
950,SSCD Crime Thrillers,6,6,"Jeri Forbes leads a specialized team of FBI agents as they search the nation for elusive serial killers. This action-packed series of psychological thrillers will keep you on the edge of your seat, but be warned. These stories are not for the faint of heart.",https://www.goodreads.com/series/148372-sscd-crime-thrillers
951,With Ties That Bind: Broken Bonds,3,3,This series is a spinoff of the Broken Bonds serial which must be read prior to beginning this first book. Contains spoilers to the Broken Bonds serial.,https://www.goodreads.com/series/174369-with-ties-that-bind-broken-bonds
952,Julian Kestrel Mysteries,4,5,"Julian Kestrel, a dandy-about-town in 1820s London, England:",https://www.goodreads.com/series/42138-julian-kestrel-mysteries
953,Detective Sean Duffy,6,7,"Previously known as The Troubles Trilogy. Sean Duffy, a detective sergeant in 1980s Northern Ireland, in the Troubles Trilogy:",https://www.goodreads.com/series/75285-detective-sean-duffy
954,Sir Henry Merrivale,23,24,"Sir Henry Merrivale, holder of one of the oldest baronetcies in England, physician, barrister, and head of military intelligence for the war office in England:",https://www.goodreads.com/series/41878-sir-henry-merrivale
955,Laurel McKay Mysteries,6,7,"Laurel McKay, a recently divorced soccer mom working at Hangtown Bank, in the gold country town, Placerville, California.",https://www.goodreads.com/series/87228-laurel-mckay-mysteries
956,Sister Agatha,6,6,"Sister Agatha, a former investigative journalist, now one of the extern sisters, the convent's link to the outside world, at the Our Lady of Hope Monastery, in New Mexico:",https://www.goodreads.com/series/52253-sister-agatha
957,Cain Casey,7,9,"Derby Cain Casey was groomed from birth to take the reins of the Casey family enterprises, which just happens to be one of the major crime organizations in New Orleans.",https://www.goodreads.com/series/52272-cain-casey
958,A Southern Sewing Circle,12,12,"Tori Sinclair, a Yankee librarian moving to Sweet Briar, South Carolina, in the Southern Sewing Circle mysteries:",https://www.goodreads.com/series/47381-a-southern-sewing-circle
959,Shane Schofield,4,5,"Captain Shane Michael Schofield, callsign ""Scarecrow"", (1968-) USMC is a fictional character, whose exploits form the basis of a series created by the Australian author, Matthew Reilly. He appears in Ice Station, Area 7, Scarecrow, Scarecrow and the Army of Thieves and the spin off Hell Island. While the plot differs from novel to novel, it is mainly based around Schofield's legendary reputation as a Marine, revered by the Marines that serve under his command and known for his high-risk tactical maneuvers.",https://www.goodreads.com/series/74657-shane-schofield
960,The Adventures of Sherlock Holmes,12,14,"The Adventures of Sherlock Holmes (book 3 in the ) is a collection of twelve stories by Arthur Conan Doyle, featuring his famous detective.",https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes
961,Inspector Peach,19,19,"Detective Inspector Peach and Detective Sergeant Lucy Blake, in Lancashire, England:",https://www.goodreads.com/series/65833-inspector-peach
962,Juno Mozambe Mystery,3,3,"Juno Mozambe is a cop, later ex-cop, in this series set on the planet of Lagarto.",https://www.goodreads.com/series/50947-juno-mozambe-mystery
963,Buryin' Barry Mystery,6,6,"Barry Clayton, an ex-cop who returns home to help run the family funeral home business, in Gainesboro, North Carolina, in the Buryin' Barry mysteries:",https://www.goodreads.com/series/65652-buryin-barry-mystery
964,Jim Clemo,2,2,"Crime thrillers set in Bristol, England, feature Detective Jim Clemo.",https://www.goodreads.com/series/203045-jim-clemo
965,Sophie Greenway,8,8,"Sophie Greenway, magazine editor and food critic for Minneapolis, Minnesota, in the Culinary Mysteries:",https://www.goodreads.com/series/65510-sophie-greenway
966,A Domestic Bliss Mystery,7,7,"Erin Gilbert and Steve Sullivan, rival interior designers in Colorado, in the Domestic Bliss Mysteries:",https://www.goodreads.com/series/41355-a-domestic-bliss-mystery
967,Sabrina Vaughn,5,5,"San Francisco Homicide Inspector, Sabrina Vaughn",https://www.goodreads.com/series/131998-sabrina-vaughn
968,Molly Doyle,4,4,Molly Doyle is an antiques shop owner in Carmel-by-the-Sea (California).,https://www.goodreads.com/series/42694-molly-doyle
969,Benjamin Justice,8,8,Benjamin Justice is a disgraced journalist living in Los Angeles.,https://www.goodreads.com/series/52628-benjamin-justice
970,Caitlin Strong,9,9,"Caitlin Strong, a fifth-generation Texas Ranger, sometimes working as a psychological therapist, in San Antonio, Texas:",https://www.goodreads.com/series/82550-caitlin-strong
971,Kindle County Legal Thriller,10,10,The Kindle County legal thrillers are set in a fictional Illinois county that is based on Cook County (Chicago).,https://www.goodreads.com/series/52231-kindle-county-legal-thriller
972,Louis Morgon,5,5,"Louis Morgon, a Middle East policy expert dismissed from the CIA, taking refuge in France:",https://www.goodreads.com/series/82671-louis-morgon
973,Brothers Grimm Mystery,4,4,"Adult crime-fantasy books following the adventures of Gretel, who is now 35, still living with her brother Hans, grown very large, and working as a Private Detective.",https://www.goodreads.com/series/147370-brothers-grimm-mystery
974,Inspector Hemingway,4,4,"Inspector Hemingway, Hannasyde's subordinate in England:",https://www.goodreads.com/series/66680-inspectors-hannasyde-hemingway
975,Fleming Stone,61,66,"Fleming Stone, a bookish private investigator, frequently called in to help the police solve a crime, in New York City:",https://www.goodreads.com/series/84091-fleming-stone
